_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,card
snscrape.modules.twitter.Tweet,https://twitter.com/aslanimdat1071/status/753739843046440960,2016-07-14 23:55:57+00:00,Çünkü Cumhuriyet rejiminin içinde koordinasyon yapacak olan başkanlık sistemi (rejimi değil) anlatılamadı.,Çünkü Cumhuriyet rejiminin içinde koordinasyon yapacak olan başkanlık sistemi (rejimi değil) anlatılamadı.,753739843046440960,"{'_type': 'snscrape.modules.twitter.User', 'username': 'aslanimdat1071', 'id': 1654012560, 'displayname': 'İmdat ASLAN', 'description': '*Bolu Köroğlu Gazeteciler Cemiyeti Başkanı  \nHavadis Gazetesi- \navazturk.com \nAraştırmacı/Yazar \nimdataslanexpress@hotmail.com \n*TEK TWİTTER HESABIM', 'rawDescription': '*Bolu Köroğlu Gazeteciler Cemiyeti Başkanı  \nHavadis Gazetesi- \nhttps://t.co/U5RSREdz6I \nAraştırmacı/Yazar \nimdataslanexpress@hotmail.com \n*TEK TWİTTER HESABIM', 'descriptionUrls': [{'text': 'avazturk.com', 'url': 'http://avazturk.com/', 'tcourl': 'https://t.co/U5RSREdz6I', 'indices': [64, 87]}], 'verified': False, 'created': '2013-08-07T22:48:09+00:00', 'followersCount': 12840, 'friendsCount': 1365, 'statusesCount': 51875, 'favouritesCount': 6309, 'listedCount': 52, 'mediaCount': 2482, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/516571952320749569/AiJ1OGox_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1654012560/1398294820', 'label': None, 'url': 'https://twitter.com/aslanimdat1071'}",0,3,2,0,753739843046440960,tr,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,,,,,"{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -122.035311, 'latitude': 37.193164}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'San Jose, CA', 'name': 'San Jose', 'type': 'city', 'country': 'United States', 'countryCode': 'US'}",,,
snscrape.modules.twitter.Tweet,https://twitter.com/aslanimdat1071/status/753733981674274816,2016-07-14 23:32:39+00:00,"Bize has,bize özgü,bünyemize uyan başkanlık sistemi” denildi ancak ete kemiğe bürünmüş hali kamuoyunun gündemine getirilemedi.","Bize has,bize özgü,bünyemize uyan başkanlık sistemi” denildi ancak ete kemiğe bürünmüş hali kamuoyunun gündemine getirilemedi.",753733981674274816,"{'_type': 'snscrape.modules.twitter.User', 'username': 'aslanimdat1071', 'id': 1654012560, 'displayname': 'İmdat ASLAN', 'description': '*Bolu Köroğlu Gazeteciler Cemiyeti Başkanı  \nHavadis Gazetesi- \navazturk.com \nAraştırmacı/Yazar \nimdataslanexpress@hotmail.com \n*TEK TWİTTER HESABIM', 'rawDescription': '*Bolu Köroğlu Gazeteciler Cemiyeti Başkanı  \nHavadis Gazetesi- \nhttps://t.co/U5RSREdz6I \nAraştırmacı/Yazar \nimdataslanexpress@hotmail.com \n*TEK TWİTTER HESABIM', 'descriptionUrls': [{'text': 'avazturk.com', 'url': 'http://avazturk.com/', 'tcourl': 'https://t.co/U5RSREdz6I', 'indices': [64, 87]}], 'verified': False, 'created': '2013-08-07T22:48:09+00:00', 'followersCount': 12840, 'friendsCount': 1365, 'statusesCount': 51875, 'favouritesCount': 6309, 'listedCount': 52, 'mediaCount': 2482, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/516571952320749569/AiJ1OGox_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1654012560/1398294820', 'label': None, 'url': 'https://twitter.com/aslanimdat1071'}",0,4,3,0,753733981674274816,tr,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,,,,,"{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': 31.56528, 'latitude': 40.714342}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Bolu, Türkiye', 'name': 'Bolu', 'type': 'city', 'country': 'Turkey', 'countryCode': 'TR'}",,,
snscrape.modules.twitter.Tweet,https://twitter.com/akkoc6/status/753719903429992453,2016-07-14 22:36:43+00:00,"@tugceyetish yok bölünme falan olmaz,baskanlik sistemi T.C yı Süper güç yapacaktır","@tugceyetish yok bölünme falan olmaz,baskanlik sistemi T.C yı Süper güç yapacaktır",753719903429992453,"{'_type': 'snscrape.modules.twitter.User', 'username': 'akkoc6', 'id': 2665916658, 'displayname': 'erkan koçak', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2014-07-21T13:30:14+00:00', 'followersCount': 923, 'friendsCount': 1586, 'statusesCount': 23354, 'favouritesCount': 5631, 'listedCount': 0, 'mediaCount': 963, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1055299402355654662/SC55y3HL_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2665916658/1470954981', 'label': None, 'url': 'https://twitter.com/akkoc6'}",2,0,0,0,753712774266642433,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,7.537127742666424e+17,"{'_type': 'snscrape.modules.twitter.User', 'username': 'tugceyetish', 'id': 2247232998, 'displayname': 'Tuğçe Yetiş', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/tugceyetish'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'tugceyetish', 'id': 2247232998, 'displayname': 'Tuğçe Yetiş', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/tugceyetish'}]",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sadierbilici/status/753718664898056192,2016-07-14 22:31:47+00:00,"Başbakan Yardımcısı Kurtulmuş: (4): Başbakan Yardımcısı Kurtulmuş: (4)""(Yeni anayasa ve başkanlık sistemi) Bu... https://t.co/d8JRsDTmE4","Başbakan Yardımcısı Kurtulmuş: (4): Başbakan Yardımcısı Kurtulmuş: (4)""(Yeni anayasa ve başkanlık sistemi) Bu... bit.ly/29U43MM",753718664898056192,"{'_type': 'snscrape.modules.twitter.User', 'username': 'sadierbilici', 'id': 3805222516, 'displayname': 'SADİ ERBİLİCİ', 'description': ""Hiç kusura bakmayın!  \nMİLLİ İRADE' nin temsilcisini üzeni, üzerim."", 'rawDescription': ""Hiç kusura bakmayın!  \nMİLLİ İRADE' nin temsilcisini üzeni, üzerim."", 'descriptionUrls': None, 'verified': False, 'created': '2015-09-28T15:48:32+00:00', 'followersCount': 829, 'friendsCount': 1016, 'statusesCount': 18908, 'favouritesCount': 14, 'listedCount': 3, 'mediaCount': 40, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/661536047835295744/HpR7zTAz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3805222516/1446503312', 'label': None, 'url': 'https://twitter.com/sadierbilici'}",0,0,0,0,753718664898056192,tr,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://twitterfeed.com,twitterfeed,['http://bit.ly/29U43MM'],['https://t.co/d8JRsDTmE4'],,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/salimmikdat/status/753718659202162689,2016-07-14 22:31:46+00:00,"Başbakan Yardımcısı Kurtulmuş: (4): Başbakan Yardımcısı Kurtulmuş: (4)""(Yeni anayasa ve başkanlık sistemi) Bu... https://t.co/CIAqxDSOOQ","Başbakan Yardımcısı Kurtulmuş: (4): Başbakan Yardımcısı Kurtulmuş: (4)""(Yeni anayasa ve başkanlık sistemi) Bu... bit.ly/29U43MM",753718659202162689,"{'_type': 'snscrape.modules.twitter.User', 'username': 'salimmikdat', 'id': 3805142116, 'displayname': 'SALİM MİKDAT KOYUNCU', 'description': 'SEVDİĞİMİ SEVENİ SEVERİM', 'rawDescription': 'SEVDİĞİMİ SEVENİ SEVERİM', 'descriptionUrls': None, 'verified': False, 'created': '2015-09-28T15:37:57+00:00', 'followersCount': 683, 'friendsCount': 896, 'statusesCount': 20735, 'favouritesCount': 27, 'listedCount': 2, 'mediaCount': 77, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/693345613379997696/HVT1XuaC_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3805142116/1443527806', 'label': None, 'url': 'https://twitter.com/salimmikdat'}",0,0,0,0,753718659202162689,tr,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://twitterfeed.com,twitterfeed,['http://bit.ly/29U43MM'],['https://t.co/CIAqxDSOOQ'],,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/BiskinSuayip/status/753704087577849856,2016-07-14 21:33:52+00:00,Kurani bakış Peygamberi yaşayış oldumu işimiz rast Başkanlık Sistemi Yeni Anayasa Özgür büyük Türkiye hepimizin Dua https://t.co/Pc9sHmrNSA,Kurani bakış Peygamberi yaşayış oldumu işimiz rast Başkanlık Sistemi Yeni Anayasa Özgür büyük Türkiye hepimizin Dua https://t.co/Pc9sHmrNSA,753704087577849856,"{'_type': 'snscrape.modules.twitter.User', 'username': 'BiskinSuayip', 'id': 2445991280, 'displayname': 'Şuayip Bişkin EVET', 'description': 'KuranibakışPeygamberiyaşayış.IHH Allaha kul Peygamberimize ümmet olmaya ve yetiştirmek ilk amaç dua ile hak ile kalın Dostlar.REİS GÖNÜLLÜSÜ HÖH ORGENERAL ER', 'rawDescription': 'KuranibakışPeygamberiyaşayış.IHH Allaha kul Peygamberimize ümmet olmaya ve yetiştirmek ilk amaç dua ile hak ile kalın Dostlar.REİS GÖNÜLLÜSÜ HÖH ORGENERAL ER', 'descriptionUrls': None, 'verified': False, 'created': '2014-04-15T20:06:59+00:00', 'followersCount': 1229, 'friendsCount': 2700, 'statusesCount': 102143, 'favouritesCount': 21905, 'listedCount': 5, 'mediaCount': 5182, 'location': 'Sincan, Türkiye', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/833825034640699393/nt_PPHan_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2445991280/1487188283', 'label': None, 'url': 'https://twitter.com/BiskinSuayip'}",0,1,0,0,753704087577849856,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/CnWx3scWAAAywKD?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CnWx3scWAAAywKD?format=jpg&name=large'}]",,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/klarensidorf/status/753696487842910208,2016-07-14 21:03:40+00:00,Kuvvetler ayrılığına kurban olduğumun amerikasında başkanlık sistemi: https://t.co/YWdZH5NGlY @AmerikaBulteni aracılığıyla,Kuvvetler ayrılığına kurban olduğumun amerikasında başkanlık sistemi: amerikabulteni.com/?p=18167 @AmerikaBulteni aracılığıyla,753696487842910208,"{'_type': 'snscrape.modules.twitter.User', 'username': 'klarensidorf', 'id': 3339741496, 'displayname': 'Erhan', 'description': ""Tek parti döneminin jakobenler'indenim."", 'rawDescription': ""Tek parti döneminin jakobenler'indenim."", 'descriptionUrls': None, 'verified': False, 'created': '2015-06-21T19:38:04+00:00', 'followersCount': 207, 'friendsCount': 215, 'statusesCount': 1745, 'favouritesCount': 6823, 'listedCount': 0, 'mediaCount': 95, 'location': 'İzmit, Kocaeli', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1375944876328648704/Ol2xXqHA_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3339741496/1497935006', 'label': None, 'url': 'https://twitter.com/klarensidorf'}",0,0,1,0,753696487842910208,tr,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['http://amerikabulteni.com/?p=18167'],['https://t.co/YWdZH5NGlY'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'amerikabulteni', 'id': 312726242, 'displayname': 'Amerika Bülteni', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/amerikabulteni'}]",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/cuneyt_ekin/status/753693874908954624,2016-07-14 20:53:17+00:00,@asyaliasena Suriye li leri diyorsan. Haklısın 😂 ama Başa gelen çekilir. Başkanlık sistemi diyorsan  olacak.,@asyaliasena Suriye li leri diyorsan. Haklısın 😂 ama Başa gelen çekilir. Başkanlık sistemi diyorsan  olacak.,753693874908954624,"{'_type': 'snscrape.modules.twitter.User', 'username': 'cuneyt_ekin', 'id': 2716134131, 'displayname': 'Cüneyt EKİN', 'description': 'A. K. P 💡\nÖZEL KALEMİ 👁️', 'rawDescription': 'A. K. P 💡\nÖZEL KALEMİ 👁️', 'descriptionUrls': None, 'verified': False, 'created': '2014-07-17T23:35:27+00:00', 'followersCount': 14, 'friendsCount': 22, 'statusesCount': 455, 'favouritesCount': 755, 'listedCount': 0, 'mediaCount': 94, 'location': 'United States', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1278279451147735045/raMml8t__normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2716134131/1496568828', 'label': None, 'url': 'https://twitter.com/cuneyt_ekin'}",1,0,0,0,753692424892022788,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,7.536924248920228e+17,"{'_type': 'snscrape.modules.twitter.User', 'username': 'frejyya', 'id': 4010070736, 'displayname': None, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/frejyya'}",,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/BiskinSuayip/status/753687997715976194,2016-07-14 20:29:56+00:00,"https://t.co/3WeAfa9D0Y
Müslüman Türk Kürt Arap geleceğine sahip çık Lozani yüzyıl daha uzatırma Petrol Başkanlık Sistemi büyükTürkiye bizim","cankayagundem.com/m/?id=1048&t=m…
Müslüman Türk Kürt Arap geleceğine sahip çık Lozani yüzyıl daha uzatırma Petrol Başkanlık Sistemi büyükTürkiye bizim",753687997715976194,"{'_type': 'snscrape.modules.twitter.User', 'username': 'BiskinSuayip', 'id': 2445991280, 'displayname': 'Şuayip Bişkin EVET', 'description': 'KuranibakışPeygamberiyaşayış.IHH Allaha kul Peygamberimize ümmet olmaya ve yetiştirmek ilk amaç dua ile hak ile kalın Dostlar.REİS GÖNÜLLÜSÜ HÖH ORGENERAL ER', 'rawDescription': 'KuranibakışPeygamberiyaşayış.IHH Allaha kul Peygamberimize ümmet olmaya ve yetiştirmek ilk amaç dua ile hak ile kalın Dostlar.REİS GÖNÜLLÜSÜ HÖH ORGENERAL ER', 'descriptionUrls': None, 'verified': False, 'created': '2014-04-15T20:06:59+00:00', 'followersCount': 1229, 'friendsCount': 2700, 'statusesCount': 102143, 'favouritesCount': 21905, 'listedCount': 5, 'mediaCount': 5182, 'location': 'Sincan, Türkiye', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/833825034640699393/nt_PPHan_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2445991280/1487188283', 'label': None, 'url': 'https://twitter.com/BiskinSuayip'}",0,0,0,0,753687997715976194,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['http://www.cankayagundem.com/m/?id=1048&t=makale'],['https://t.co/3WeAfa9D0Y'],,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/fanwithme/status/753685595541671937,2016-07-14 20:20:23+00:00,Bakan Ala her şekilde vatandaşlığı vereceğiz demiş ya şu başkanlık sistemi gelsin artik yoksa başımız daki daha çok sapitacak,Bakan Ala her şekilde vatandaşlığı vereceğiz demiş ya şu başkanlık sistemi gelsin artik yoksa başımız daki daha çok sapitacak,753685595541671937,"{'_type': 'snscrape.modules.twitter.User', 'username': 'fanwithme', 'id': 3543682215, 'displayname': 'fanwithme', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2015-09-04T10:25:18+00:00', 'followersCount': 19, 'friendsCount': 336, 'statusesCount': 609, 'favouritesCount': 124, 'listedCount': 0, 'mediaCount': 16, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/639747254191046656/v_px9sTC_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/fanwithme'}",0,0,0,0,753685595541671937,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,,,,,,,
